行业,代码,公司,最终状态,首个定量淘汰原因,定性结论,PE_TTM,最新ROE_pct,近3期ROE中位数_pct,ROE除以PE,最新毛利率_pct,近3期毛利率中位数_pct,最新资产负债率_pct,最新ROIC_pct,近3期ROIC中位数_pct,本地资料
必选消费,06186,中国飞鹤,定量淘汰,最新ROE<15%,未进入定性复核,13,7.7,13.9,0.59,65,65,23.3,7.8,13.8,stocks/必选消费/HK_中国飞鹤(06186).md
必选消费,06603,IFBH,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,9.18,20.8,68.3,2.27,32.9,34.8,14.6,82,138.4,stocks/必选消费/HK_IFBH(06603).md
必选消费,06808,高鑫零售,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-32.48,-1.7,-1.7,0.05,24.2,24.2,65.4,-0.7,-0.7,stocks/必选消费/HK_高鑫零售(06808).md
必选消费,06969,思摩尔国际,定量淘汰,最新ROE<15%,未进入定性复核,40.71,4.9,6,0.12,34.1,37.4,23.3,6.5,10.6,stocks/必选消费/HK_思摩尔国际(06969).md
必选消费,06979,珍酒李渡,定量淘汰,最新ROE<15%,未进入定性复核,44.68,3.9,9.9,0.09,58.5,58.5,32.4,3.8,10.6,stocks/必选消费/HK_珍酒李渡(06979).md
必选消费,06993,蓝月亮集团,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-55.36,-4.1,-4.1,0.07,59.7,60.6,19.6,-6.2,-6.2,stocks/必选消费/HK_蓝月亮集团(06993).md
必选消费,09633,农夫山泉,条件观察,,品牌、水源与渠道优势很强，创始人导向明确；但2025年资本开支约68亿元、约占收入12.9%，触及本筛选的高资本开支警戒线。,27.24,44.2,44.2,1.62,60.5,59.5,39.4,32.9,35.9,stocks/必选消费/HK_农夫山泉(09633).md
必选消费,09858,优然牧业,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-34.81,-3.9,-6,0.11,29.8,28.8,72.1,-1.1,-1.7,stocks/必选消费/HK_优然牧业(09858).md
必选消费,09980,东鹏饮料,定量淘汰,最新资产负债率>40%或未披露,未进入定性复核,15.46,51.6,47.5,3.34,44.1,44.1,64.7,24.6,24.6,stocks/必选消费/HK_东鹏饮料(09980).md
必选消费,09985,卫龙美味,通过初筛,,辣味零食主业集中，品牌、渠道和规模形成优势；派息、特别息及2026年回购体现股东导向，南宁基地约10亿元且分期投入，暂不构成高资本开支。,11.71,21.4,18.3,1.83,48,48,35.6,25,19.9,stocks/必选消费/HK_卫龙美味(09985).md
房地产,00004,九龙仓集团,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,1177.79,0,0,0.00,65.4,64.2,23.2,0,0,stocks/房地产/HK_九龙仓集团(00004).md
房地产,00010,恒隆集团,定量淘汰,最新ROE<15%,未进入定性复核,13.48,1.4,1.7,0.10,65.6,65.6,34.3,0.8,1,stocks/房地产/HK_恒隆集团(00010).md
房地产,00012,恒基地产,定量淘汰,最新ROE<15%,未进入定性复核,23.64,1.8,1.9,0.08,31.9,36,36.8,1.1,1.3,stocks/房地产/HK_恒基地产(00012).md
房地产,00014,希慎兴业,定量淘汰,最新ROE<15%,未进入定性复核,57.68,0.5,0.1,0.01,80.2,80.7,34,0.3,0,stocks/房地产/HK_希慎兴业(00014).md
房地产,00016,新鸿基地产,定量淘汰,最新ROE<15%,未进入定性复核,16.2,3.1,3.2,0.19,42.9,45.1,23.8,2.4,2.4,stocks/房地产/HK_新鸿基地产(00016).md
房地产,00017,新世界发展,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1.26,-9.5,-9.5,7.54,42,35.9,50.8,-4.5,-4.5,stocks/房地产/HK_新世界发展(00017).md
房地产,00041,鹰君,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-7.11,-3.1,-3.1,0.44,20.1,38.7,37.5,-1.9,-1.9,stocks/房地产/HK_鹰君(00041).md
房地产,00081,中国海外宏洋集团,定量淘汰,最新ROE<15%,未进入定性复核,26.59,1,3,0.04,8.7,8.7,67.9,0.3,0.9,stocks/房地产/HK_中国海外宏洋集团(00081).md
房地产,00083,信和置业,定量淘汰,最新ROE<15%,未进入定性复核,27.74,2.4,2.7,0.09,47.6,45.4,7.5,3,3.3,stocks/房地产/HK_信和置业(00083).md
房地产,00101,恒隆地产,定量淘汰,最新ROE<15%,未进入定性复核,21.49,1.4,1.6,0.07,65.6,65.6,35.2,0.9,1.1,stocks/房地产/HK_恒隆地产(00101).md
房地产,00119,保利置业集团,定量淘汰,最新ROE<15%,未进入定性复核,23.45,0.7,0.7,0.03,17,17,73.7,0.2,0.2,stocks/房地产/HK_保利置业集团(00119).md
房地产,00123,越秀地产,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,242.33,0.1,1.9,0.00,7.8,10.5,71.4,0,0.3,stocks/房地产/HK_越秀地产(00123).md
房地产,00173,嘉华国际,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-7.25,-2.2,0.8,0.30,0.2,18.9,36.5,-1.5,0.6,stocks/房地产/HK_嘉华国际(00173).md
房地产,00588,北京北辰实业股份,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-0.7,-20.6,-16.7,29.43,-3.6,-3.6,69.8,-6.6,-5.8,stocks/房地产/HK_北京北辰实业股份(00588).md
房地产,00604,深圳控股,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1.43,-11.8,-4.5,8.25,16.2,28.5,70,-3,-1.2,stocks/房地产/HK_深圳控股(00604).md
房地产,00683,嘉里建设,定量淘汰,最新ROE<15%,未进入定性复核,29.44,0.9,0.9,0.03,28.9,32.8,43.1,0.5,0.5,stocks/房地产/HK_嘉里建设(00683).md
房地产,00688,中国海外发展,定量淘汰,最新ROE<15%,未进入定性复核,10.4,3.3,4.1,0.32,15.5,17.7,54.1,1.6,2,stocks/房地产/HK_中国海外发展(00688).md
房地产,00817,中国金茂,定量淘汰,最新ROE<15%,未进入定性复核,13.24,2.3,2.3,0.17,15.5,14.6,72.9,0.4,0.3,stocks/房地产/HK_中国金茂(00817).md
房地产,00960,龙湖集团,定量淘汰,最新ROE<15%,未进入定性复核,41.66,0.6,6.6,0.01,9.7,16,60.2,0.2,1.9,stocks/房地产/HK_龙湖集团(00960).md
房地产,01030,新城发展,定量淘汰,最新ROE<15%,未进入定性复核,23.68,0.8,1.1,0.03,23.3,16.8,69.4,0.2,0.2,stocks/房地产/HK_新城发展(01030).md
房地产,01109,华润置地,定量淘汰,最新ROE<15%,未进入定性复核,8.43,9,9.5,1.07,21.2,21.6,61.1,3,3,stocks/房地产/HK_华润置地(01109).md
房地产,01113,长实集团,定量淘汰,最新ROE<15%,未进入定性复核,15.32,2.8,3.5,0.18,44.1,52.5,19.8,2.4,3,stocks/房地产/HK_长实集团(01113).md
房地产,01209,华润万象生活,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,19.77,24.8,22.4,1.25,35.5,32.9,46,20.2,23.2,stocks/房地产/HK_华润万象生活(01209).md
房地产,01908,建发国际集团,定量淘汰,最新ROE<15%,未进入定性复核,8.23,9.2,13.5,1.12,13.9,13.3,73.9,1.3,1.6,stocks/房地产/HK_建发国际集团(01908).md
房地产,01918,融创中国,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-0.79,-33,-33,41.77,-1.4,-1.4,94.1,-1.5,-1.5,stocks/房地产/HK_融创中国(01918).md
房地产,01972,太古地产,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-83.68,-0.6,-0.3,0.01,66.4,70.5,23.2,-0.4,-0.2,stocks/房地产/HK_太古地产(01972).md
房地产,01997,九龙仓置业,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-17.72,-2.3,0.5,0.13,78.3,80.1,19,-1.9,0.4,stocks/房地产/HK_九龙仓置业(01997).md
房地产,02007,碧桂园,定量淘汰,最新ROE<15%,未进入定性复核,2.32,-81.1,-155.4,-34.96,-27.8,-23.3,94.6,0.4,-3,stocks/房地产/HK_碧桂园(02007).md
房地产,02202,万科企业,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-0.29,-55.4,-21.8,191.03,0.5,8.1,76.9,-9.3,-4.3,stocks/房地产/HK_万科企业(02202).md
房地产,02423,贝壳-W,定量淘汰,最新ROE<15%,未进入定性复核,36.87,4.3,5.7,0.12,21.4,24.6,43,2.6,3.7,stocks/房地产/HK_贝壳-W(02423).md
房地产,02602,万物云,定量淘汰,最新ROE<15%,未进入定性复核,26.18,4.4,6.8,0.17,12.2,13,58.3,2.8,4.9,stocks/房地产/HK_万物云(02602).md
房地产,02669,中海物业,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,7.68,24.9,32.7,3.24,15,15.9,54.2,21.4,24.9,stocks/房地产/HK_中海物业(02669).md
房地产,02869,绿城服务,定量淘汰,最新ROE<15%,未进入定性复核,13.1,11.2,10.3,0.85,17.3,16.8,52.4,7.3,6.3,stocks/房地产/HK_绿城服务(02869).md
房地产,03380,龙光集团,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1.5,-26,-26.4,17.33,-111.1,-21.8,89,-2.5,-2.9,stocks/房地产/HK_龙光集团(03380).md
房地产,03900,绿城中国,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,232.97,0.2,4.4,0.00,11.9,12.8,76.5,0,0.4,stocks/房地产/HK_绿城中国(03900).md
房地产,06049,保利物业,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,8.98,15.3,16,1.70,17.4,18.3,41.2,22.2,28.3,stocks/房地产/HK_保利物业(06049).md
房地产,06098,碧桂园服务,定量淘汰,最新ROE<15%,未进入定性复核,26.81,1.7,1.7,0.06,17.5,19.1,46.6,1.1,1.1,stocks/房地产/HK_碧桂园服务(06098).md
房地产,06666,恒大物业,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,8.61,91.4,91.4,10.62,18.3,19.2,79.7,18.5,18.5,stocks/房地产/HK_恒大物业(06666).md
房地产,09993,金辉控股,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-0.58,-60.8,-47,104.83,-11,-11,79.8,-8.9,-8.9,stocks/房地产/HK_金辉控股(09993).md
工业,00001,长和,定量淘汰,最新ROE<15%,未进入定性复核,23.19,2.2,3.2,0.09,56,56.1,40.4,1.3,1.9,stocks/工业/HK_长和(00001).md
工业,00019,太古股份公司Ａ,定量淘汰,最新ROE<15%,未进入定性复核,23.86,1.1,1.6,0.05,37.3,37.2,33.6,0.7,1.1,stocks/工业/HK_太古股份公司Ａ(00019).md
工业,00038,第一拖拉机股份,定量淘汰,最新ROE<15%,未进入定性复核,10.18,10.9,13.2,1.07,15.1,15.1,45.5,6.6,8.3,stocks/工业/HK_第一拖拉机股份(00038).md
工业,00066,港铁公司,定量淘汰,最新ROE<15%,未进入定性复核,13.82,7.8,7.8,0.56,98.6,98.9,45.8,4.4,4.4,stocks/工业/HK_港铁公司(00066).md
工业,00087,太古股份公司Ｂ,定量淘汰,最新ROE<15%,未进入定性复核,13.24,1.1,1.6,0.08,37.3,37.2,33.6,0.7,1.1,stocks/工业/HK_太古股份公司Ｂ(00087).md
工业,00107,四川成渝高速公路,定量淘汰,最新ROE<15%,未进入定性复核,8.52,7.9,7.9,0.93,33.5,30.4,66.7,2.6,2.6,stocks/工业/HK_四川成渝高速公路(00107).md
工业,00142,第一太平,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,4.41,15.9,15.8,3.61,36.5,36.3,57.2,3.8,3.5,stocks/工业/HK_第一太平(00142).md
工业,00144,招商局港口,定量淘汰,最新ROE<15%,未进入定性复核,9.59,6,6.3,0.63,48.7,46.4,28.4,4.5,4.5,stocks/工业/HK_招商局港口(00144).md
工业,00152,深圳国际,定量淘汰,最新ROE<15%,未进入定性复核,6.6,6.6,6.6,1.00,21,22.9,58.9,2,2,stocks/工业/HK_深圳国际(00152).md
工业,00177,江苏宁沪高速公路,定量淘汰,最新ROE<15%,未进入定性复核,9.23,11.5,13.4,1.25,30.1,30.1,43,5.7,6.2,stocks/工业/HK_江苏宁沪高速公路(00177).md
工业,00179,德昌电机控股,定量淘汰,最新ROE<15%,未进入定性复核,10.43,7.3,9.2,0.70,23,23,32.8,6.1,6.5,stocks/工业/HK_德昌电机控股(00179).md
工业,00187,京城机电股份,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-19.29,-5.5,-4.8,0.29,16.3,16.3,57,-2.5,-2.5,stocks/工业/HK_京城机电股份(00187).md
工业,00267,中信股份,定量淘汰,最新ROE<15%,未进入定性复核,5.26,7.6,8,1.44,,,88.5,0.5,0.6,stocks/工业/HK_中信股份(00267).md
工业,00293,国泰航空,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,7.41,19.2,17.1,2.59,,,66,6.7,6,stocks/工业/HK_国泰航空(00293).md
工业,00316,东方海外国际,定量淘汰,最新ROE<15%,未进入定性复核,8.2,11.4,11.4,1.39,16.8,16.8,24.1,14.2,15.5,stocks/工业/HK_东方海外国际(00316).md
工业,00317,中船防务,定量淘汰,最新ROE<15%,未进入定性复核,11.61,5.6,2.2,0.48,10.1,7.8,61.3,2.7,1.1,stocks/工业/HK_中船防务(00317).md
工业,00363,上海实业控股,定量淘汰,最新ROE<15%,未进入定性复核,7.24,4.1,6,0.57,29.8,29.8,50.5,1.9,2.4,stocks/工业/HK_上海实业控股(00363).md
工业,00390,中国中铁,定量淘汰,最新ROE<15%,未进入定性复核,3.56,6.3,8.1,1.77,9,9.5,78.1,1.1,1.6,stocks/工业/HK_中国中铁(00390).md
工业,00470,先导智能,定量淘汰,最新ROE<15%,未进入定性复核,27.48,12.6,12.6,0.46,30.7,30.7,66.3,4.7,4.7,stocks/工业/HK_先导智能(00470).md
工业,00525,广深铁路股份,定量淘汰,最新ROE<15%,未进入定性复核,9.07,5.1,4.1,0.56,5.6,5.6,23.5,4.2,3,stocks/工业/HK_广深铁路股份(00525).md
工业,00548,深圳高速公路股份,定量淘汰,最新ROE<15%,未进入定性复核,12.68,4.7,5.2,0.37,30.3,31.6,55,1.9,1.9,stocks/工业/HK_深圳高速公路股份(00548).md
工业,00552,中国通信服务,定量淘汰,最新ROE<15%,未进入定性复核,7.12,7.7,8.2,1.08,11.3,11.6,64.1,3.2,3.6,stocks/工业/HK_中国通信服务(00552).md
工业,00564,中创智领,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,5.34,18.7,18.6,3.50,22,22,52.1,9.7,9.3,stocks/工业/HK_中创智领(00564).md
工业,00568,山东墨龙,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,771.2,1,-9.5,0.00,10,7.7,81.4,0.2,-1.7,stocks/工业/HK_山东墨龙(00568).md
工业,00576,浙江沪杭甬,定量淘汰,最新ROE<15%,未进入定性复核,6.81,11,12.8,1.62,34.3,40.1,68.3,2.8,3.4,stocks/工业/HK_浙江沪杭甬(00576).md
工业,00586,海螺创业,定量淘汰,最新ROE<15%,未进入定性复核,6.03,4.6,4.6,0.76,34.7,34.7,39.6,2.8,2.8,stocks/工业/HK_海螺创业(00586).md
工业,00598,中国外运,定量淘汰,最新ROE<15%,未进入定性复核,6.96,9.9,10.1,1.42,5.7,5.7,43.8,6.7,6.7,stocks/工业/HK_中国外运(00598).md
工业,00631,三一国际,定量淘汰,最新ROE<15%,未进入定性复核,13.18,14,14,1.06,22.3,22.4,70.7,4.8,4.8,stocks/工业/HK_三一国际(00631).md
工业,00636,嘉里物流联网,定量淘汰,最新ROE<15%,未进入定性复核,7.69,8.2,8.2,1.07,10.5,10.3,54,4.1,4.1,stocks/工业/HK_嘉里物流联网(00636).md
工业,00656,复星国际,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-1.32,-22.1,-3.6,16.74,50.6,44.5,76.5,-3.9,-0.7,stocks/工业/HK_复星国际(00656).md
工业,00659,周大福创建,定量淘汰,最新ROE<15%,未进入定性复核,15.62,5.7,4.9,0.36,27.7,24.4,76.9,1.5,1.6,stocks/工业/HK_周大福创建(00659).md
工业,00666,瑞浦兰钧,定量淘汰,最新ROE<15%,未进入定性复核,33.61,5.7,-10.8,0.17,11.2,4.1,74.5,1.6,-3.8,stocks/工业/HK_瑞浦兰钧(00666).md
工业,00669,创科实业,定量淘汰,ROE/PE<1,未进入定性复核,25.96,18,18,0.69,41.2,40.3,48.2,10.2,9.7,stocks/工业/HK_创科实业(00669).md
工业,00670,中国东方航空股份,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,62.72,-3.9,-9.9,-0.06,5.8,4.2,86,-0.6,-1.5,stocks/工业/HK_中国东方航空股份(00670).md
工业,00696,中国民航信息网络,定量淘汰,最新ROE<15%,未进入定性复核,9.62,10.1,9.7,1.05,50.9,51.2,25.8,11.4,10.9,stocks/工业/HK_中国民航信息网络(00696).md
工业,00697,首程控股,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,76.86,3,4.1,0.04,39.3,40.7,28.4,3.3,4.2,stocks/工业/HK_首程控股(00697).md
工业,00753,中国国航,定量淘汰,最新ROE<15%,未进入定性复核,38.11,-4.1,-3.4,-0.11,6.4,6.4,88.6,-0.5,-0.3,stocks/工业/HK_中国国航(00753).md
工业,00819,天能动力,定量淘汰,最新ROE<15%,未进入定性复核,3.42,8.6,8.6,2.51,9.8,7.1,63.2,3.3,3.3,stocks/工业/HK_天能动力(00819).md
工业,00995,安徽皖通高速公路,定量淘汰,最新ROE<15%,未进入定性复核,12.6,12.8,12.8,1.02,43.8,39.1,53.3,8.9,9.6,stocks/工业/HK_安徽皖通高速公路(00995).md
工业,01052,越秀交通基建,定量淘汰,最新ROE<15%,未进入定性复核,10.46,4.5,5.6,0.43,44.1,47.7,57.7,1.7,2.1,stocks/工业/HK_越秀交通基建(01052).md
工业,01055,中国南方航空股份,定量淘汰,最新ROE<15%,未进入定性复核,18.06,2.4,-4.9,0.13,28.3,26.4,84.2,0.3,-0.6,stocks/工业/HK_中国南方航空股份(01055).md
工业,01072,东方电气,定量淘汰,最新ROE<15%,未进入定性复核,15.92,9.1,9.1,0.57,15.9,15.9,70.4,3.1,3.1,stocks/工业/HK_东方电气(01072).md
工业,01081,大金重工,定量淘汰,最新ROE<15%,未进入定性复核,16.5,14.2,6.7,0.86,31.1,29.8,42.9,10.8,5.6,stocks/工业/HK_大金重工(01081).md
工业,01138,中远海能,定量淘汰,最新ROE<15%,未进入定性复核,11.56,9.8,10.2,0.85,25.8,27,46.1,5.5,5.5,stocks/工业/HK_中远海能(01138).md
工业,01157,中联重科,定量淘汰,最新ROE<15%,未进入定性复核,13.09,8.3,6.4,0.63,28,28,55,4.2,3.2,stocks/工业/HK_中联重科(01157).md
工业,01186,中国铁建,定量淘汰,最新ROE<15%,未进入定性复核,3.21,5.5,7,1.71,9.7,10.3,79.5,1.1,1.5,stocks/工业/HK_中国铁建(01186).md
工业,01196,伟禄集团,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-16.75,-37.2,-28.2,2.22,24,35.7,83.1,-4.9,-4.9,stocks/工业/HK_伟禄集团(01196).md
工业,01199,中远海运港口,定量淘汰,最新ROE<15%,未进入定性复核,8.4,5.1,5.3,0.61,24.9,27.7,41,3.1,3.2,stocks/工业/HK_中远海运港口(01199).md
工业,01308,海丰国际,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,10.71,50.1,47.6,4.68,38.4,37.4,28.1,47.9,44.2,stocks/工业/HK_海丰国际(01308).md
工业,01333,博雷顿,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-13.54,-43.3,-34.2,3.20,11.1,5.8,64.1,-20.4,-24.5,stocks/工业/HK_博雷顿(01333).md
工业,01519,极兔速递-W,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,60.86,6.6,6.6,0.11,12,10.5,67.7,3,1.8,stocks/工业/HK_极兔速递-W(01519).md
工业,01618,中国中冶,定量淘汰,最新ROE<15%,未进入定性复核,20.75,0.9,4.5,0.04,10.1,9.7,78.1,0.2,1,stocks/工业/HK_中国中冶(01618).md
工业,01766,中国中车,定量淘汰,最新ROE<15%,未进入定性复核,9.12,7.7,7.5,0.84,21.4,21.4,60.8,3.1,3.2,stocks/工业/HK_中国中车(01766).md
工业,01783,晋景新能,定量淘汰,PE>57.81（高于10年期国债收益率倒数）,未进入定性复核,191.55,8.4,-4.5,0.04,8,8,37.6,5.9,-2.1,stocks/工业/HK_晋景新能(01783).md
工业,01800,中国交通建设,定量淘汰,最新ROE<15%,未进入定性复核,4.01,4.8,7.8,1.20,11.1,12.1,76.8,0.9,1.6,stocks/工业/HK_中国交通建设(01800).md
工业,01882,海天国际,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,8.94,15,15,1.68,32.7,32.5,35.4,11.6,12.1,stocks/工业/HK_海天国际(01882).md
工业,01919,中远海控,定量淘汰,最新ROE<15%,未进入定性复核,8.27,13.2,13.2,1.60,19.5,19.5,41.4,11.3,11.3,stocks/工业/HK_中远海控(01919).md
